parameter_name	description	category	targeted_group
CCV12-2_A1B	Contour length of daughter cell on nucleus A1B	cell wall	A1 & B (Nucleus)
CCV13_A1B	Fitness in nucleus A1B	cell wall	A1 & B (Nucleus)
CCV101_A1B	Cell size on nucleus A1B	cell wall	A1 & B (Nucleus)
CCV102_A1B	Contour length of cell on nucleus A1B	cell wall	A1 & B (Nucleus)
CCV103_A1B	Long axis length of mother cell on nucleus A1B	cell wall	A1 & B (Nucleus)
CCV104_A1B	Short axis length of mother cell on nucleus A1B	cell wall	A1 & B (Nucleus)
CCV105_A1B	Neck position on nucleus A1B	cell wall	A1 & B (Nucleus)
CCV106_A1B	Bud growth direction on nucleus A1B	cell wall	A1 & B (Nucleus)
CCV107_A1B	Long axis length in bud on nucleus A1B	cell wall	A1 & B (Nucleus)
CCV108_A1B	Short axis length in bud on nucleus A1B	cell wall	A1 & B (Nucleus)
CCV109_A1B	Neck width on stage A1B	cell wall	A1 & B (Nucleus)
CCV110_A1B	Length from bud tip to mother cell's long axis on nucleus A1B	cell wall	A1 & B (Nucleus)
CCV111_A1B	Length from bud tip to mother cell's short axis on nucleus A1B	cell wall	A1 & B (Nucleus)
CCV112_A1B	Distance from neck to mother cell's center on nucleus A1B	cell wall	A1 & B (Nucleus)
CCV113_A1B	Distance from bud tip to mother cell's long axis along bud direction on nucleus A1B	cell wall	A1 & B (Nucleus)
CCV114_A1B	Roundness of bud on nucleus A1B	cell wall	A1 & B (Nucleus)
CCV115_A1B	Roundness of mother cell on nucleus A1B	cell wall	A1 & B (Nucleus)
CCV116_A1B	Ratio of roundness of mother cell to that of bud in nucleus A1B	cell wall	A1 & B (Nucleus)
CCV117_A1B	Ratio of the countour length on nucleus A1B	cell wall	A1 & B (Nucleus)
CCV118_A1B	Ratio of the cell sizes on nucleus A1B	cell wall	A1 & B (Nucleus)
CCV126_A1B	Unevenness of brightness on nucleus A1B	cell wall	A1 & B (Nucleus)
CCV127_A1B	Unevenness of cell wall thickness on nucleus A1B	cell wall	A1 & B (Nucleus)
CCV128_A1B	Length from bud neck to the farthest point on mother cell on nucleus A1B	cell wall	A1 & B (Nucleus)
ACV7-1_A1B	Actin region size in mother cell on nucleus A1B	actin	A1 & B (Nucleus)
ACV7-2_A1B	Actin region size in bud on nucleus A1B	actin	A1 & B (Nucleus)
ACV8-1_A1B	Actin region brightness in mother cell on nucleus A1B	actin	A1 & B (Nucleus)
ACV8-2_A1B	Actin region brightness in bud on nucleus A1B	actin	A1 & B (Nucleus)
ACV9_A1B	Ratio of actin region to bud neck on nucleus A1B	actin	A1 & B (Nucleus)
